2018,11,airline,43,,,small
2018,12,airline,24,,,small
2018,13,airline,21,,,small
2018,14,airline,0,,,small
2018,15,airline,33,,,small
2018,16,airline,51,,,small
2018,17,airline,49,,,small
2018,18,airline,0,,,small
2018,19,airline,30,,,small
2018,2,airline,0,,,small
2018,20,airline,18,,,small
2018,21,airline,0,,,small
2018,22,airline,24,,,small
2018,23,airline,85,,,small
2018,24,airline,0,,,small
2018,25,airline,0,,,small
2018,26,airline,33,,,small
2018,27,airline,20,,,small
2018,28,airline,33,,,small
2018,29,airline,72,,,small
2018,3,airline,51,,,small
2018,30,airline,0,,,small
2018,31,airline,22,,,small
2018,32,airline,31,,,small
2018,33,airline,36,,,small
2018,34,airline,23,,,small
2018,35,airline,65,,,small
2018,36,airline,45,,,small
2018,37,airline,0,,prestrike_1,small
2018,38,airline,0,,prestrike_1,small
2018,39,airline,106,,prestrike_2,small
2018,4,airline,17,,,small
2018,40,airline,53,,prestrike_2,small
2018,41,airline,36,,prestrike_2,small
2018,42,airline,24,,prestrike_2,small
2018,43,airline,48,,strike,small
2018,44,airline,79,,strike,small
2018,45,airline,0,peak2018,strike,small
2018,46,airline,0,peak2018,strike,small
2018,47,airline,43,peak2018,strike,small
2018,48,airline,55,peak2018,strike,small
2018,49,airline,0,peak2018,,small
2018,5,airline,29,,,small
2018,50,airline,50,peak2018,,small
2018,51,airline,39,peak2018,,small
2018,52,airline,15,peak2018,,small
2018,6,airline,1,,,small
2018,7,airline,9,,,small
2018,8,airline,0,,,small
2018,9,airline,5,,,small
2019,2,airline,18,peak2018,,small
2019,3,airline,8,,,small
2019,6,airline,15,,,small
2019,7,airline,43,,,small
2019,8,airline,39,,,small
2019,9,airline,23,,,small
2019,10,airline,25,,,small
2019,11,airline,59,,,small
2019,12,airline,27,,,small
2019,13,airline,65,,,small
2019,14,airline,21,,,small
2019,16,airline,19,,,small
2019,17,airline,9,,,small
2017,1,allover,365,,,medium
2017,2,allover,246,,,medium
2017,3,allover,374,,,medium
2017,4,allover,367,,,medium
2017,5,allover,424,,,medium
2017,6,allover,401,,,medium
2017,7,allover,324,,,medium
2017,8,allover,360,,,medium
2017,9,allover,312,,,medium
2017,10,allover,324,,,medium
2017,11,allover,464,,,medium
2017,12,allover,348,,,medium
2017,13,allover,367,,,medium
2017,14,allover,315,,,medium
2017,15,allover,234,,,medium
2017,16,allover,352,,,medium
2017,17,allover,428,,,medium
2017,18,allover,492,,,medium
2017,19,allover,337,,,medium
2017,20,allover,285,,,medium
2017,21,allover,331,,,medium
2017,22,allover,285,,,medium
2017,23,allover,266,,,medium
2017,24,allover,375,,,medium
2017,25,allover,302,,,medium
2017,26,allover,248,,,medium
2017,27,allover,242,,,medium
2017,28,allover,399,,,medium
2017,29,allover,386,,,medium
2017,30,allover,316,,,medium
2017,31,allover,360,,,medium
2017,32,allover,370,,,medium
2017,33,allover,291,,,medium
2017,34,allover,729,,,medium
2017,35,allover,448,,,medium
2017,36,allover,306,,,medium
2017,37,allover,344,,,medium
